# Slime Simulator State Dump
# Width: 160, Height: 120
# Agents: 1000
# LFSR State: 0x1E1AF7AB

# Agent states (x, y, angle) in fixed-point
00050000 00032000 34D
0004F000 00032000 2FE
00046000 00032000 260
00046000 0003C000 124
00047000 00032000 2AC
00046000 00039000 1BD
00050000 00038000 3DE
00050000 0003C000 020
00050000 0003D000 0A4
00046000 0003B000 1AD
00050000 00035000 3BE
00051000 00038000 3E0
00050000 0003C000 024
0004F000 0003C000 0AC
00046000 00039000 1BD
00050000 00038000 3DF
00050000 0003C000 023
0004F000 0003C000 0AA
00046000 0003A000 1B9
00051000 00037000 3D7
00050000 0003C000 013
00050000 0003C000 08B
00046000 0003C000 17B
00050000 00032000 35B
00050000 00032000 31B
00046000 00032000 29B
00046000 0003C000 19B
00050000 00032000 39A
00050000 00032000 399
00050000 00032000 396
00050000 00032000 391
00050000 00032000 387
00050000 00032000 373
00050000 00032000 34A
0004F000 00032000 2F9
00046000 00032000 256
00046000 0003C000 110
00046000 00032000 284
00046000 0003C000 16C
00050000 00032000 33D
0004C000 00032000 2DE
00046000 00032000 220
00050000 0003D000 0A5
00046000 0003B000 1AE
00050000 00035000 3C0
00051000 00039000 3E4
00050000 0003C000 02C
0004D000 0003D000 0BC
00046000 00036000 1DD
00050000 0003C000 01E
00050000 0003C000 0A1
00046000 0003B000 1A7
00050000 00034000 3B3
00050000 00036000 3CA
00051000 0003B000 3F8
00050000 0003C000 054
00046000 0003C000 10C
00046000 00032000 27C
00046000 0003C000 15D
00050000 00032000 31F
00046000 00032000 2A2
00046000 0003B000 1A8
00050000 00034000 3B5
00051000 00037000 3CE
00051000 0003C000 001
00050000 0003C000 066
00046000 0003C000 131
0004A000 00032000 2C7
00046000 00034000 1F3
00050000 0003C000 04A
00047000 0003D000 0F8
00046000 00032000 255
00046000 0003C000 10F
00046000 00032000 283
00046000 0003C000 16A
00050000 00032000 339
0004B000 00032000 2D7
00046000 00032000 212
00050000 0003C000 089
00046000 0003C000 177
00050000 00032000 352
00050000 00032000 309
00046000 00032000 276
00046000 0003C000 151
00050000 00032000 307
00046000 00032000 273
00046000 0003C000 14A
0004F000 00032000 2F9
00046000 00032000 257
00046000 0003C000 113
00046000 00032000 28A
00046000 0003C000 179
00050000 00032000 356
00050000 00032000 311
00046000 00032000 287
00046000 0003C000 173
00050000 00032000 34B
0004F000 00032000 2FA
00046000 00032000 259
00046000 0003C000 116
00046000 00032000 290
00046000 0003C000 184
00050000 00032000 36C
00050000 00032000 33C
0004C000 00032000 2DD
00046000 00032000 21F
00050000 0003C000 0A3
00046000 0003B000 1AA
00051000 00034000 3B9
00051000 00037000 3D7
00050000 0003C000 013
00050000 0003C000 08A
00046000 0003C000 179
00050000 00032000 356
00050000 00032000 311
00046000 00032000 286
00046000 0003C000 171
00050000 00032000 347
0004E000 00032000 2F2
00046000 00032000 249
00048000 0003D000 0F6
00046000 00032000 250
00046000 0003C000 105
00046000 00032000 26F
00046000 0003C000 142
0004D000 00032000 2E9
00046000 00032000 237
0004B000 0003C000 0D2
00046000 00032000 208
00050000 0003C000 075
00046000 0003C000 14F
00050000 00032000 303
00046000 00032000 26B
00046000 0003C000 13A
0004C000 00032000 2D9
00046000 00032000 216
00050000 0003C000 091
00046000 0003C000 186
00050000 00032000 371
00050000 00032000 346
0004E000 00032000 2F1
00046000 00032000 246
00048000 0003C000 0F0
00046000 00032000 244
00048000 0003D000 0ED
00046000 00032000 23F
0004A000 0003D000 0E2
00046000 00032000 228
0004E000 0003C000 0B4
00046000 00038000 1CC
00050000 0003B000 3FD
00050000 0003C000 05F
00046000 0003C000 123
00047000 00032000 2AA
00046000 0003A000 1B8
00050000 00037000 3D4
00050000 0003C000 00C
00050000 0003C000 07C
00046000 0003C000 15D
00050000 00032000 31F
00046000 00032000 2A2
00046000 0003B000 1A9
00050000 00034000 3B6
00050000 00037000 3D1
00050000 0003C000 006
00050000 0003C000 071
00046000 0003C000 146
0004E000 00032000 2F1
00046000 00032000 246
00048000 0003C000 0F0
00046000 00032000 244
00048000 0003D000 0ED
00046000 00032000 23F
00049000 0003D000 0E3
00046000 00032000 22A
0004E000 0003D000 0B9
00046000 00037000 1D6
00050000 0003C000 011
00050000 0003C000 086
00046000 0003C000 170
00050000 00032000 344
0004E000 00032000 2ED
00046000 00032000 23E
0004A000 0003D000 0E1
00046000 00032000 227
0004E000 0003C000 0B3
00046000 00038000 1CA
00051000 0003B000 3F8
00050000 0003C000 055
00046000 0003C000 10E
00046000 00032000 280
00046000 0003C000 165
00050000 00032000 32F
00049000 00032000 2C2
00046000 00035000 1E8
00050000 0003C000 034
0004C000 0003D000 0CC
00046000 00033000 1FD
00050000 0003C000 05E
00046000 0003C000 120
00046000 00032000 2A4
00046000 0003B000 1AC
00051000 00035000 3BC
00050000 00038000 3DD
00050000 0003C000 01F
00050000 0003C000 0A2
00046000 0003B000 1A9
00050000 00034000 3B6
00051000 00037000 3D0
00050000 0003C000 005
00050000 0003C000 06F
00046000 0003C000 143
0004D000 00032000 2EA
00046000 00032000 239
0004B000 0003D000 0D7
00046000 00032000 212
00050000 0003C000 088
00046000 0003C000 174
00050000 00032000 34C
0004F000 00032000 2FD
00046000 00032000 25F
00046000 0003C000 122
00047000 00032000 2A8
00046000 0003A000 1B4
00051000 00036000 3CC
00050000 0003B000 3FD
00050000 0003C000 05F
00046000 0003C000 123
00047000 00032000 2AA
00046000 0003A000 1B9
00051000 00037000 3D6
00050000 0003C000 011
00050000 0003C000 087
00046000 0003C000 173
00050000 00032000 34A
0004F000 00032000 2F8
00046000 00032000 254
00046000 0003C000 10C
00046000 00032000 27C
00046000 0003C000 15C
00050000 00032000 31C
00046000 00032000 29C
00046000 0003C000 19D
00050000 00032000 39F
00050000 00032000 3A3
00050000 00033000 3AB
00051000 00035000 3BA
00051000 00038000 3D8
00050000 0003C000 014
00050000 0003C000 08C
00046000 0003C000 17D
00050000 00032000 35F
00050000 00032000 322
00047000 00032000 2A9
00046000 0003A000 1B6
00050000 00037000 3D1
00050000 0003C000 007
00050000 0003C000 073
00046000 0003C000 14B
0004F000 00032000 2FA
00046000 00032000 259
00046000 0003C000 117
00046000 00032000 293
00046000 0003C000 18B
00050000 00032000 37A
00050000 00032000 359
00050000 00032000 316
00046000 00032000 291
00046000 0003C000 186
00050000 00032000 371
00050000 00032000 347
