# Slime Simulator State Dump
# Width: 640, Height: 480
# Agents: 1000
# LFSR State: 0x1E1AF7AB

# Agent states (x, y, angle) in fixed-point
00136000 000E8000 1ED
00140000 000F0000 03E
0013A000 000F1000 0E0
00136000 000E6000 225
0013F000 000F1000 0AE
00136000 000ED000 1C0
00140000 000ED000 3E5
00140000 000F0000 02F
0013D000 000F1000 0C3
00136000 000E9000 1EA
00140000 000F0000 039
0013B000 000F1000 0D6
00136000 000E6000 210
00140000 000F0000 085
00136000 000F0000 16E
00140000 000E6000 341
0013D000 000E6000 2E7
00136000 000E6000 232
0013C000 000F0000 0C9
00136000 000E7000 1F7
00140000 000F0000 053
00136000 000F0000 10A
00136000 000E6000 279
00136000 000F0000 156
00140000 000E6000 311
00136000 000E6000 286
00136000 000F0000 170
00140000 000E6000 344
0013E000 000E6000 2ED
00136000 000E6000 23E
0013A000 000F1000 0E1
00136000 000E6000 227
0013E000 000F1000 0B2
00136000 000EC000 1C9
00141000 000EF000 3F6
00140000 000F0000 050
00136000 000F0000 104
00136000 000E6000 26D
00136000 000F0000 13F
0013D000 000E6000 2E2
00136000 000E6000 229
0013E000 000F0000 0B7
00136000 000EB000 1D3
00140000 000F0000 00B
00140000 000F0000 07B
00136000 000F0000 15A
00140000 000E6000 319
00136000 000E6000 297
00136000 000F0000 193
00140000 000E6000 38B
00140000 000E6000 37B
00140000 000E6000 35A
00140000 000E6000 318
00136000 000E6000 294
00136000 000F0000 18C
00140000 000E6000 37C
00140000 000E6000 35D
00140000 000E6000 31E
00136000 000E6000 2A1
00136000 000EF000 1A7
00140000 000E8000 3B3
00140000 000EA000 3CB
00140000 000EF000 3FB
00140000 000F0000 05A
00136000 000F0000 119
00136000 000E6000 296
00136000 000F0000 190
00140000 000E6000 385
00140000 000E6000 36E
00140000 000E6000 341
0013D000 000E6000 2E7
00136000 000E6000 233
0013C000 000F0000 0CA
00136000 000E7000 1F9
00140000 000F0000 057
00136000 000F0000 112
00136000 000E6000 289
00136000 000F0000 176
00140000 000E6000 351
00140000 000E6000 307
00136000 000E6000 272
00136000 000F0000 149
0013F000 000E6000 2F7
00136000 000E6000 253
00136000 000F0000 10A
00136000 000E6000 279
00136000 000F0000 157
00140000 000E6000 313
00136000 000E6000 28A
00136000 000F0000 178
00140000 000E6000 355
00140000 000E6000 30F
00136000 000E6000 282
00136000 000F0000 169
00140000 000E6000 337
0013B000 000E6000 2D2
00136000 000E6000 208
00140000 000F0000 075
00136000 000F0000 14F
00140000 000E6000 302
00136000 000E6000 269
00136000 000F0000 136
0013B000 000E6000 2D1
00136000 000E6000 206
00140000 000F0000 070
00136000 000F0000 145
0013E000 000E6000 2EE
00136000 000E6000 241
00139000 000F0000 0E7
00136000 000E6000 233
0013C000 000F0000 0CB
00136000 000E7000 1FB
00140000 000F0000 05A
00136000 000F0000 119
00136000 000E6000 297
00136000 000F0000 192
00140000 000E6000 388
00140000 000E6000 374
00140000 000E6000 34D
0013F000 000E6000 2FF
00136000 000E6000 262
00136000 000F0000 128
00138000 000E6000 2B5
00136000 000EC000 1CE
00141000 000F0000 000
00140000 000F0000 065
00136000 000F0000 12E
00139000 000E6000 2C0
00136000 000E9000 1E5
00140000 000F0000 02E
0013D000 000F0000 0C0
00136000 000E9000 1E5
00140000 000F0000 02E
0013D000 000F0000 0C0
00136000 000E9000 1E5
00140000 000F0000 02F
0013D000 000F1000 0C3
00136000 000E9000 1EA
00140000 000F0000 039
0013B000 000F1000 0D6
00136000 000E6000 210
00140000 000F0000 084
00136000 000F0000 16D
00140000 000E6000 33E
0013C000 000E6000 2E1
00136000 000E6000 226
0013F000 000F1000 0B0
00136000 000EC000 1C5
00140000 000EE000 3EF
00140000 000F0000 043
00139000 000F1000 0EB
00136000 000E6000 23A
0013B000 000F1000 0D8
00136000 000E6000 214
00140000 000F0000 08D
00136000 000F0000 17E
00140000 000E6000 361
00140000 000E6000 326
00138000 000E6000 2B1
00136000 000EC000 1C7
00140000 000EE000 3F3
00140000 000F0000 04A
00137000 000F0000 0F9
00136000 000E6000 256
00136000 000F0000 110
00136000 000E6000 284
00136000 000F0000 16C
00140000 000E6000 33D
0013C000 000E6000 2DE
00136000 000E6000 220
00140000 000F1000 0A4
00136000 000EF000 1AD
00140000 000E9000 3BF
00141000 000ED000 3E3
00140000 000F0000 02A
0013E000 000F1000 0B9
00136000 000EB000 1D6
00140000 000F0000 010
00140000 000F0000 084
00136000 000F0000 16C
00140000 000E6000 33C
0013C000 000E6000 2DC
00136000 000E6000 21C
00140000 000F0000 09D
00136000 000F0000 19E
00140000 000E6000 3A1
00141000 000E7000 3A7
00141000 000E8000 3B2
00140000 000EA000 3C9
00141000 000EF000 3F6
00140000 000F0000 050
00136000 000F0000 104
00136000 000E6000 26D
00136000 000F0000 13E
0013C000 000E6000 2E0
00136000 000E6000 224
0013F000 000F0000 0AD
00136000 000ED000 1BE
00141000 000EC000 3E1
00140000 000F0000 027
0013E000 000F0000 0B3
00136000 000EC000 1CB
00140000 000EF000 3FA
00140000 000F0000 059
00136000 000F0000 117
00136000 000E6000 292
00136000 000F0000 189
00140000 000E6000 377
00140000 000E6000 353
00140000 000E6000 30A
00136000 000E6000 279
00136000 000F0000 156
00140000 000E6000 311
00136000 000E6000 287
00136000 000F0000 173
00140000 000E6000 34B
0013F000 000E6000 2FA
00136000 000E6000 259
00136000 000F0000 117
00136000 000E6000 293
00136000 000F0000 18A
00140000 000E6000 379
00140000 000E6000 357
00140000 000E6000 313
00136000 000E6000 28B
00136000 000F0000 17A
00140000 000E6000 359
00140000 000E6000 316
00136000 000E6000 290
00136000 000F0000 184
00140000 000E6000 36D
00140000 000E6000 33F
0013D000 000E6000 2E2
00136000 000E6000 228
0013E000 000F0000 0B4
00136000 000EC000 1CD
00141000 000EF000 3FE
00140000 000F0000 060
00136000 000F0000 124
00137000 000E6000 2AC
00136000 000ED000 1BD
00140000 000EC000 3DF
00140000 000F0000 023
0013F000 000F0000 0AA
00136000 000EE000 1B8
00140000 000EB000 3D4
00140000 000F0000 00D
00140000 000F0000 07E
00136000 000F0000 161
00140000 000E6000 327
00138000 000E6000 2B3
00136000 000EC000 1CB
00140000 000EF000 3FB
00140000 000F0000 05A
00136000 000F0000 118
00136000 000E6000 294
00136000 000F0000 18D
00140000 000E6000 37F
00140000 000E6000 362
00140000 000E6000 329
00138000 000E6000 2B6
00136000 000EB000 1D0
00140000 000F0000 005
00140000 000F0000 06F
00136000 000F0000 143
0013D000 000E6000 2EB
00136000 000E6000 23A
0013B000 000F1000 0D8
00136000 000E6000 215
00140000 000F0000 08F
00136000 000F0000 182
00140000 000E6000 369
00140000 000E6000 337
0013B000 000E6000 2D2
00136000 000E6000 208
00140000 000F0000 075
00136000 000F0000 14E
00140000 000E6000 301
00136000 000E6000 266
00136000 000F0000 130
0013A000 000E6000 2C5
00136000 000E8000 1EF
00140000 000F0000 042
00139000 000F0000 0E9
00136000 000E6000 236
0013B000 000F1000 0D0
00136000 000E6000 205
